receptor_name,represented_families,represented_family_labels,n_represented_families,representative_pdb,mapped_uniprot_accessions,uniprot_mapping_status
5-hydroxytryptamine receptor 1A,Gi,Gi/o,1,7E2X,P08908,mapped
5-hydroxytryptamine receptor 1B,Gi,Gi/o,1,6G79,P28222,mapped
5-hydroxytryptamine receptor 1D,Gi,Gi/o,1,7E32,P28221,mapped
5-hydroxytryptamine receptor 1E,Gi,Gi/o,1,7E33,P28566,mapped
5-hydroxytryptamine receptor 1F,Gi,Gi/o,1,7EXD,P30939,mapped
5-hydroxytryptamine receptor 2A,Gq,Gq/11,1,7RAN,P28223,mapped
5-hydroxytryptamine receptor 2B,Gq,Gq/11,1,7SRR,P41595,mapped
5-hydroxytryptamine receptor 4,Gi;Gs,Gi/o;Gs,2,7XTA,Q13639,mapped
5-hydroxytryptamine receptor 5A,Gi,Gi/o,1,7X5H,P47898,mapped
5-hydroxytryptamine receptor 6,Gs,Gs,1,7XTB,P50406,mapped
5-hydroxytryptamine receptor 7,Gs,Gs,1,7XTC,P34969,mapped
Adenosine receptor A2a,Gs,Gs,1,6GDG,P29274,mapped
Adenosine receptor A2b,Gs,Gs,1,8HDP,P29275,mapped
Adhesion G protein-coupled receptor E5,Gq;G12-13,Gq/11;G12/13,2,7YDM,P48960,mapped
Adhesion G protein-coupled receptor G3,Gi,Gi/o,1,7D77,Q86Y34,mapped
Adhesion G protein-coupled receptor L3,G12-13,G12/13,1,7SF7,Q9HAR2,mapped
Adhesion G-protein coupled receptor D1,Gs,Gs,1,7WU2,Q6QNK2,mapped
Adhesion G-protein coupled receptor F1,Gs,Gs,1,7WU3,Q5T601,mapped
Adhesion G-protein coupled receptor G1,G12-13,G12/13,1,7SF8,Q9Y653,mapped
Adhesion G-protein coupled receptor G4,Gs,Gs,1,7WUJ,Q8IZF6,mapped
Adhesion G-protein coupled receptor G5,Gs,Gs,1,7EQ1,Q8IZF4,mapped
Alpha-2A adrenergic receptor,Gi,Gi/o,1,6K42,P08913,mapped
Angiotensin receptor AT1R,Gq,Gq/11,1,7F6G,P30556,mapped
Apelin receptor,Gi,Gi/o,1,7W0N,P35414,mapped
B1 bradykinin receptor,Gq,Gq/11,1,7EIB,P46663,mapped
B2 bradykinin receptor,Gq,Gq/11,1,7F2O,P30411,mapped
Beta-2 adrenergic receptor,Gs,Gs,1,3SN6,P07550,mapped
Bombesin receptor subtype-3,Gq,Gq/11,1,8Y53,P32247,mapped
C-C chemokine receptor type 1,Gi,Gi/o,1,7VL9,P32246,mapped
C-C chemokine receptor type 2,Gi,Gi/o,1,7XA3,P41597,mapped
C-C chemokine receptor type 3,Gi,Gi/o,1,7X9Y,P51677,mapped
C-C chemokine receptor type 5,Gi,Gi/o,1,7F1Q,P51681,mapped
C-C chemokine receptor type 6,Gi,Gi/o,1,6WWZ,P51684,mapped
C-C chemokine receptor type 8,Gi,Gi/o,1,8KFX,P51685,mapped
C-X-C chemokine receptor type 1,Gi,Gi/o,1,8IC0,P25024,mapped
C-X-C chemokine receptor type 2,Gi,Gi/o,1,6LFO,P25025,mapped
C-X-C chemokine receptor type 4,Gi,Gi/o,1,8K3Z,P61073,mapped
C3a anaphylatoxin chemotactic receptor,Gi,Gi/o,1,8HK2,Q16581,mapped
C5a anaphylatoxin chemotactic receptor 1,Gi,Gi/o,1,8HK5,P21730,mapped
CX3C chemokine receptor 1,Gi,Gi/o,1,7XBX,P49238,mapped
Calcitonin gene-related peptide type 1 receptor,Gs,Gs,1,6UVA,Q16602,mapped
Calcitonin receptor,Gs,Gs,1,8F0J,P30988,mapped
Cannabinoid receptor 1,Gi,Gi/o,1,7WV9,P21554,mapped
Cannabinoid receptor 2,Gi,Gi/o,1,6PT0,P34972,mapped
Chemerin-like receptor 1,Gi,Gi/o,1,7YKD,Q99788,mapped
Chemerin-like receptor 2,Gi,Gi/o,1,8XGM,P46091,mapped
Chemokine XC receptor 1,Gi,Gi/o,1,9AST,P46094,mapped
Cholecystokinin receptor type A,Gi;Gs;Gq,Gi/o;Gs;Gq/11,3,7EZH,P32238,mapped
Consensus Olfactory Receptor OR52c,Gs,Gs,1,8HTI,,unmapped
Corticotropin-releasing factor receptor 1,Gs,Gs,1,6PB0,P34998,mapped
Corticotropin-releasing factor receptor 2,Gi;Gs;Gq,Gi/o;Gs;Gq/11,3,7TS0,Q13324,mapped
D(1A) dopamine receptor,Gs,Gs,1,7JVQ,P21728,mapped
D(1B) dopamine receptor,Gs,Gs,1,8IRV,P21918,mapped
D(3) dopamine receptor,Gi,Gi/o,1,7CMV,P35462,mapped
D(4) dopamine receptor,Gi,Gi/o,1,8IRU,P21917,mapped
Delta-type opioid receptor,Gi,Gi/o,1,8F7S,P41143,mapped
Endothelin receptor type B,Gi;Gq,Gi/o;Gq/11,2,8IY5,P24530,mapped
Endothelin-1 receptor,Gs,Gs,1,8XVI,P25101,mapped
Follicle-stimulating hormone receptor,Gs,Gs,1,8I2G,P23945,mapped
Free fatty acid receptor 1,Gq,Gq/11,1,8EJC,O14842,mapped
Free fatty acid receptor 3,Gi,Gi/o,1,8J21,O14843,mapped
Free fatty acid receptor 4,Gi;Gs;Gq,Gi/o;Gs;Gq/11,3,8ID9,Q5NUL3,mapped
Frizzled-1,Gq,Gq/11,1,8J9N,Q9UP38,mapped
G protein-coupled receptor 88,Gi,Gi/o,1,7EJX,Q9GZN0,mapped
G-protein coupled bile acid receptor 1,Gs,Gs,1,7CFN,Q8TDU6,mapped
G-protein coupled estrogen receptor 1,Gq,Gq/11,1,8XOJ,Q99527,mapped
G-protein coupled receptor 12,Gs,Gs,1,7Y3G,P47775,mapped
G-protein coupled receptor 15,Gi,Gi/o,1,8ZQE,P49685,mapped
G-protein coupled receptor 161,Gs,Gs,1,8SMV,Q8N6U8,mapped
G-protein coupled receptor 183,Gi,Gi/o,1,7TUZ,P32249,mapped
G-protein coupled receptor 20,Gi,Gi/o,1,8HS3,Q99678,mapped
G-protein coupled receptor 3,Gs,Gs,1,8U8F,P46089,mapped
G-protein coupled receptor 52,Gs,Gs,1,6LI3,Q9Y2T5,mapped
G-protein coupled receptor 55,G12-13,G12/13,1,9IY8,Q9Y2T6,mapped
G-protein coupled receptor 61,Gs,Gs,1,8KGK,Q9BZJ8,mapped
G-protein coupled receptor 84,Gi,Gi/o,1,8J18,Q9NQS5,mapped
GHRH receptor splice variant 1,Gs,Gs,1,7V9M,Q9HB45,mapped
Galanin receptor type 1,Gi,Gi/o,1,7WQ3,P47211,mapped
Gastric inhibitory polypeptide receptor,Gs,Gs,1,7FIN,P48546,mapped
Gastrin-releasing peptide receptor,Gq,Gq/11,1,7W3Z,P30550,mapped
Gastrin/cholecystokinin type B receptor,Gi;Gq,Gi/o;Gq/11,2,7F8V,P32239,mapped
Glucagon receptor,Gi;Gs,Gi/o;Gs,2,6LML,P47871,mapped
Glucagon-like peptide 1 receptor,Gs,Gs,1,7DUQ,P43220,mapped
Glucagon-like peptide 2 receptor,Gs,Gs,1,7D68,O95838,mapped
Glucose-dependent insulinotropic receptor,Gs,Gs,1,7XZ5,Q8TDV5,mapped
Growth hormone secretagogue receptor type 1,Gi,Gi/o,1,7NA7,Q92847,mapped
Histamine H1 receptor,Gs;Gq,Gs;Gq/11,2,8YN2,P35367,mapped
Histamine H2 receptor,Gs,Gs,1,8YUT,P25021,mapped
Histamine H3 receptor,Gs,Gs,1,8YUV,Q9Y5N1,mapped
Histamine H4 receptor,Gi,Gi/o,1,8YNA,Q9H3N8,mapped
Hydroxycarboxylic acid receptor 2,Gi,Gi/o,1,7XK2,Q8TDS4,mapped
Hydroxycarboxylic acid receptor 3,Gi,Gi/o,1,8IHJ,P49019,mapped
Kappa-type opioid receptor,Gi,Gi/o,1,8DZQ,P41145,mapped
KiSS-1 receptor,Gq,Gq/11,1,8XGS,Q969F8,mapped
Leukotriene B4 receptor 1,Gi,Gi/o,1,7VKT,Q15722,mapped
Long-wave-sensitive opsin 1,Gi,Gi/o,1,8IU2,P04000,mapped
Lutropin-choriogonadotropic hormone receptor,Gs,Gs,1,7FIG,P22888,mapped
Lysophosphatidic acid receptor 1,Gi,Gi/o,1,7YU8,Q92633,mapped
Mas-related G-protein coupled receptor member D,Gi,Gi/o,1,7Y12,Q8TDS7,mapped
Mas-related G-protein coupled receptor member X1,Gq,Gq/11,1,8DWC,Q96LB2,mapped
Mas-related G-protein coupled receptor member X2,Gi;Gq,Gi/o;Gq/11,2,7VDL,Q96LB1,mapped
Mas-related G-protein coupled receptor member X4,Gq,Gq/11,1,7S8P,Q96LA9,mapped
Melanin-concentrating hormone receptor 1,Gi,Gi/o,1,8WWH,Q99705,mapped
Melanin-concentrating hormone receptor 2,Gq,Gq/11,1,8WST,Q969V1,mapped
Melanocortin receptor 3,Gs,Gs,1,8IOC,P41968,mapped
Melanocortin receptor 4,Gs,Gs,1,7F54,P32245,mapped
Melanocortin receptor 5,Gs,Gs,1,8INR,P33032,mapped
Melanocyte-stimulating hormone receptor,Gs,Gs,1,7F4H,Q01726,mapped
Melatonin receptor type 1A,Gi,Gi/o,1,7VGZ,P48039,mapped
Melatonin receptor type 1B,Gi,Gi/o,1,7VH0,P49286,mapped
Motilin receptor,Gq,Gq/11,1,8IBV,O43193,mapped
Mu-type opioid receptor,Gi,Gi/o,1,8EFO,P35372,mapped
Muscarinic acetylcholine receptor M1,Gq,Gq/11,1,6OIJ,P11229,mapped
Muscarinic acetylcholine receptor M2,Gi,Gi/o,1,7T96,P08172,mapped
Muscarinic acetylcholine receptor M3,Gq,Gq/11,1,8E9W,P20309,mapped
Muscarinic acetylcholine receptor M4,Gi,Gi/o,1,6D9H,P08173,mapped
N-formyl peptide receptor 1,Gi,Gi/o,1,7WVU,P21462,mapped
N-formyl peptide receptor 2,Gi,Gi/o,1,7WVX,P25090,mapped
Neuromedin-B receptor,Gq,Gq/11,1,8H0P,P28336,mapped
Neuromedin-K receptor,Gq,Gq/11,1,8JBG,P29371,mapped
Neuromedin-U receptor 1,Gq,Gq/11,1,7W53,Q9HB89,mapped
Neuromedin-U receptor 2,Gi;Gq,Gi/o;Gq/11,2,7XK8,Q9GZQ4,mapped
Neuropeptide Y receptor type 1,Gi,Gi/o,1,7X9A,P25929,mapped
Neuropeptide Y receptor type 2,Gi,Gi/o,1,7YON,P49146,mapped
Neuropeptide Y receptor type 4,Gi,Gi/o,1,7X9C,P50391,mapped
Neurotensin receptor type 1,Gi,Gi/o,1,6OSA,P30989,mapped
Nociceptin receptor,Gq,Gq/11,1,8F7X,P41146,mapped
Olfactory receptor 51E2,Gs,Gs,1,8F76,Q9H255,mapped
Orexin receptor type 2,Gi;Gs;Gq,Gi/o;Gs;Gq/11,3,7SQO,O43614,mapped
Oxytocin receptor,Gi,Gi/o,1,7QVM,P30559,mapped
P2Y purinoceptor 1,Gs;Gq,Gs;Gq/11,2,8WJX,P47900,mapped
P2Y purinoceptor 12,Gi,Gi/o,1,7XXI,Q9H244,mapped
Parathyroid hormone 2 receptor,Gs,Gs,1,7F16,P49190,mapped
Parathyroid hormone/parathyroid hormone-related peptide receptor,Gs,Gs,1,6NBI,Q03431,mapped
Pituitary adenylate cyclase-activating polypeptide type I receptor,Gs,Gs,1,8E3X,P41586,mapped
Platelet-activating factor receptor,Gi,Gi/o,1,8XYD,P25105,mapped
Probable G-protein coupled receptor 101,Gs,Gs,1,8W8Q,Q96P66,mapped
Probable G-protein coupled receptor 132,Gi,Gi/o,1,8HQM,Q9UNW8,mapped
Probable G-protein coupled receptor 174,Gs,Gs,1,7XV3,Q9BXC1,mapped
Probable G-protein coupled receptor 21,Gs,Gs,1,8HJ1,Q99679,mapped
Prolactin-releasing peptide receptor,Gq,Gq/11,1,8ZPT,P49683,mapped
Prostacyclin receptor,Gs,Gs,1,8X79,P43119,mapped
Prostaglandin D2 receptor 2,Gi,Gi/o,1,8XXU,Q9Y5Y4,mapped
Prostaglandin E2 receptor EP2 subtype,Gs,Gs,1,7CX2,P43116,mapped
Prostaglandin E2 receptor EP3 subtype,Gi,Gi/o,1,7WU9,P43115,mapped
Prostaglandin E2 receptor EP4 subtype,Gs,Gs,1,7D7M,P35408,mapped
Prostaglandin F2-alpha receptor,Gq,Gq/11,1,8IUK,P43088,mapped
Proteinase-activated receptor 1,Gq,Gq/11,1,8XOR,P25116,mapped
Putative P2Y purinoceptor 10,G12-13,G12/13,1,8KGG,O00398,mapped
Pyroglutamylated RF-amide peptide receptor,Gq,Gq/11,1,8WZ2,Q96P65,mapped
Relaxin receptor 1,Gs,Gs,1,7TMW,Q9HBX9,mapped
Relaxin-3 receptor 2,Gi,Gi/o,1,7YK6,Q8TDU9,mapped
Rhodopsin,Gi,Gi/o,1,6CMO,P08100,mapped
Secretin receptor,Gs,Gs,1,6WZG,P47872,mapped
Somatostatin receptor type 1,Gi,Gi/o,1,8XIP,P30872,mapped
Somatostatin receptor type 2,Gi;Gq,Gi/o;Gq/11,2,7T10,P30874,mapped
Somatostatin receptor type 3,Gi,Gi/o,1,8XIQ,P32745,mapped
Somatostatin receptor type 4,Gi,Gi/o,1,7XMS,P31391,mapped
Somatostatin receptor type 5,Gi,Gi/o,1,8X8L,P35346,mapped
Sphingosine 1-phosphate receptor 1,Gi,Gi/o,1,7VIF,P21453,mapped
Sphingosine 1-phosphate receptor 2,G12-13,G12/13,1,7T6B,O95136,mapped
Sphingosine 1-phosphate receptor 3,Gi,Gi/o,1,7EW4,Q99500,mapped
Sphingosine 1-phosphate receptor 5,Gi,Gi/o,1,7EW1,Q9H228,mapped
Substance-K receptor,Gq,Gq/11,1,7XWO,P21452,mapped
Substance-P receptor,Gs;Gq,Gs;Gq/11,2,7RMH,P25103,mapped
Succinate receptor 1,Gs,Gs,1,8JPP,Q9BXA5,mapped
Taste receptor type 2 member 14,Gi,Gi/o,1,9IIX,Q9NYV8,mapped
Thyrotropin receptor,Gs,Gs,1,7T9N,P16473,mapped
Thyrotropin-releasing hormone receptor,Gq,Gq/11,1,7XW9,P34981,mapped
Trace amine-associated receptor 1,Gs,Gs,1,8W87,Q96RJ0,mapped
Uracil nucleotide/cysteinyl leukotriene receptor,Gi,Gi/o,1,7Y89,Q13304,mapped
Vasoactive intestinal polypeptide receptor 1,Gs,Gs,1,8E3Y,P32241,mapped
Vasoactive intestinal polypeptide receptor 2,Gs,Gs,1,7WBJ,P41587,mapped
Vasopressin V2 receptor,Gs,Gs,1,7KH0,P30518,mapped
